,country,confirmed,death,continent
0,United States,30703162,558333,North America
1,Brazil,12227179,301087,South America
2,India,11787013,160726,Asia
3,Russia,4483471,96219,Europe
4,France,4378446,93180,Europe
5,United Kingdom,4312908,126382,Europe
6,Italy,3440862,106339,Europe
7,Spain,3241345,74064,Europe
8,Turkey,3091282,30462,Asia
9,Germany,2709872,75911,Europe
10,Colombia,2353210,62394,South America
11,Argentina,2269877,54946,South America
12,Mexico,2203041,199048,North America
13,Poland,2120671,50340,Europe
14,Iran,1823317,62045,Asia
15,Ukraine,1579906,30773,Europe
16,South Africa,1540009,52372,Africa
17,Czech Republic (Czechia),1486510,25258,Europe
18,Peru,1481259,50474,South America
19,Indonesia,1476452,39983,Asia
20,Netherlands,1220945,16371,Europe
21,Chile,947783,22402,South America
22,Canada,946370,22759,North America
23,Romania,913143,22579,Europe
24,Belgium,842775,22763,Europe
25,Israel,830028,6154,Asia
26,Portugal,818787,16805,Europe
27,Iraq,809092,14095,Asia
28,Sweden,765984,13357,Europe
29,Philippines,684311,13039,Asia
30,Pakistan,637042,13965,Asia
31,Hungary,593710,18952,Europe
32,Switzerland,588118,10276,Europe
33,Bangladesh,580808,8763,Asia
34,Serbia,566669,5039,Europe
35,Jordan,562857,6181,Asia
36,Austria,523269,9151,Europe
37,Morocco,492842,8786,Africa
38,Japan (+Diamond Princess),459755,8921,Asia
39,Lebanon,448721,5903,Asia
40,United Arab Emirates,446594,1456,Asia
41,Saudi Arabia,386300,6624,Asia
42,Slovakia,352528,9261,Europe
43,Panama,352082,6065,North America
44,Malaysia,336808,1246,Asia
45,Bulgaria,317116,12413,Europe
46,Ecuador,316807,16540,South America
47,Belarus,313852,2184,Europe
48,Georgia,278628,3722,Asia
49,Nepal,276389,3020,Asia
50,Bolivia,266086,12093,South America
51,Croatia,260636,5828,Europe
52,Dominican Republic,250579,3289,North America
53,Azerbaijan,249492,3404,Asia
54,Tunisia,247254,8637,Africa
55,Greece,245405,7649,Europe
56,Kazakhstan,235095,2934,Asia
57,Ireland,232164,4628,Europe
58,State of Palestine,230076,2501,Asia
59,Denmark,227894,2405,Europe
60,Kuwait,223042,1256,Asia
61,Moldova,219988,4661,Europe
62,Costa Rica,213438,2908,North America
63,Lithuania,211011,3510,Europe
64,Slovenia,208588,3994,Europe
65,Paraguay,200823,3869,South America
66,Egypt,197350,11720,Africa
67,Ethiopia,192575,2718,Africa
68,Guatemala,190208,6749,North America
69,Armenia,186184,3398,Asia
70,Honduras,184031,4489,North America
71,Qatar,175332,278,Asia
72,Nigeria,162178,2031,Africa
73,Bosnia and Herzegovina,158198,6067,Europe
74,Libya,154320,2582,Africa
75,Oman,153105,1644,Asia
76,Venezuela,152508,1511,South America
77,Myanmar,142292,3204,Asia
78,Bahrain,138283,507,Asia
79,Kenya,124707,2066,Africa
80,Albania,122295,2171,Europe
81,North Macedonia,122227,3545,Europe
82,Algeria,116438,3069,Africa
83,South Korea,99846,1707,Asia
84,Estonia,99008,823,Europe
85,Latvia,98870,1851,Europe
86,Sri Lanka,91018,552,Asia
87,China,90125,4636,Asia
88,Norway,90104,656,Europe
89,Ghana,89893,734,Africa
90,Montenegro,88550,1224,Europe
91,Uruguay,87812,843,South America
92,Kyrgyzstan,87652,1492,Asia
93,Zambia,86993,1187,Africa
94,Uzbekistan,81678,623,Asia
95,Finland,73516,809,Europe
96,Cuba,68986,405,North America
97,Mozambique,66649,752,Africa
98,El Salvador,63766,1990,North America
99,Singapore,60236,30,Asia
