#,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,population
,,World,125555043,+139080,2758995,+2810,101372045,+85555,21424003,91790,16108,354.0,,,
1,1,USA,30704292,,558422 ,,23132879,,7012991,8623,92367,1680,393863548,1184853,332415597 
2,2,Brazil,12227179,,301087 ,,10689646,,1236446,8318,57228,1409,28600000,133858,213658752 
3,3,India,11787534,+521,160726 ,,11231650,+2059,395158,8944,8481,116,237503882,170883,1389864267 
4,4,Russia,4492692,+9221,96612 ,+393,4109281,+10881,286799,2300,30776,662,118500000,811754,145980114 
5,5,France,4378446,,93180 ,,283507,,4001759,4634,66970,1425,60773434,929559,65378809 
6,6,UK,4312908,,126382 ,,3729155,,457371,711,63290,1855,118204895,1734591,68145669 
7,7,Italy,3440862,,106339 ,,2773215,,561308,3588,56971,1761,47759055,790753,60396918 
8,8,Spain,3241345,,74064  ,,3000670,,166611,1855,69307,1584,41884958,895590,46767990 
9,9,Turkey,3091282,,30462 ,,2881643,,179177,1720,36369,358,36990175,435187,84998318 
10,10,Germany,2709872,,75911 ,,2456200,+10900,177761,3209,32268,904,48979281,583231,83979174 
11,11,Colombia,2353210,,62394 ,,2244522,,46294,1982,45892,1217,12386993,241571,51276879 
12,12,Argentina,2269877,,54946 ,,2049035,,165896,3574,49890,1208,8477597,186332,45497251 
13,13,Mexico,2208755,+5714,199627 ,+579,1748317,+4055,260811,4798,17001,1537,5957631,45857,129916892 
14,14,Poland,2154821,+34151,50860 ,+520,1722856,+15010,381105,2620,56981,1345,11503034,304181,37816353 
15,15,Iran,1823317,,62045 ,,1562709,,198563,3874,21508,732,12349804,145681,84773193 
16,16,Ukraine,1596575,+16669,31135 ,+362,1283020,+6748,282420,177,36668,715,7836049,179967,43541616 
17,17,South Africa,1540009,,52372 ,,1466595,,21042,546,25731,875,9690815,161914,59851438 
18,18,Czechia,1495361,+8763,25450 ,+83,1295205,+297,174706,1874,139448,2373,11490915,1071567,10723467 
19,19,Peru,1492519,,50656 ,,1406304,,35559,2253,44814,1521,8881594,266674,33305026 
20,20,Indonesia,1482559,+6107,40081 ,+98,1317199,+4656,125279,,5379,145,12270150,44518,275624849 
21,21,Netherlands,1220945,,16371 ,,N/A,N/A,N/A,625,71140,954,9747836,567973,17162512 
22,22,Chile,947783,,22402 ,,888826,,36555,2348,49273,1165,10739277,558305,19235515 
23,23,Canada,946370,,22759 ,,886512,,37099,586,24916,599,26858481,707123,37982749 
24,24,Romania,919794,+6651,22719 ,+140,825208,+5409,71867,1348,48047,1187,7122737,372065,19143818 
25,25,Belgium,849090,+6315,22786 ,+23,55928,+236,770376,601,73031,1960,10693594,919771,11626363 
26,26,Israel,830515,+487,6157 ,+3,811452,+444,12906,482,90297,669,13314415,1447598,9197590 
27,27,Portugal,818787,,16805 ,,769838,,32144,155,80471,1652,8892180,873925,10174991 
28,28,Iraq,809092,,14095 ,,727471,,67526,476,19794,345,7750389,189614,40874600 
29,29,Sweden,765984,,13357 ,,N/A,N/A,N/A,281,75503,1317,6627544,653275,10145100 
30,30,Philippines,693048,+8773,13095 ,+56,580062,+574,99891,785,6264,118,9816140,88722,110639355 
31,31,Pakistan,640988,+3946,14028 ,+63,588975,+2747,37985,2587,2862,63,9934373,44351,223995659 
32,32,Hungary,603347,+9637,19224 ,+272,387570,+5763,196553,1467,62572,1994,4403317,456660,9642435 
33,33,Switzerland,588118,,10276 ,,540106,,37736,158,67595,1181,5765946,662702,8700667 
34,34,Bangladesh,580808,,8763 ,,527609,,44436,,3501,53,4487686,27054,165881688 
35,35,Serbia,566669,,5039 ,,477395,,84235,243,65047,578,3313232,380322,8711652 
36,36,Jordan,562857,,6181 ,,456188,,100488,729,54770,601,5617586,546631,10276741 
37,37,Austria,526393,+3124,9178 ,+27,483460,+2863,33755,446,58205,1015,6568554,726304,9043809 
38,38,Morocco,492842,,8786 ,,480607,,3449,270,13238,236,5892612,158284,37228212 
39,39,Japan,459043,,8908 ,,436463,,13672,328,3638,71,9429113,74719,126193621 
40,40,Lebanon,448721,,5903 ,,350694,,92124,991,65958,868,3448772,506941,6803105 
41,41,UAE,448637,+2043,1466 ,+10,431773,+2200,15398,,44966,147,36247630,3633062,9977157 
42,42,Saudi Arabia,386300,,6624 ,,375471,,4205,627,10972,188,14717992,418043,35206861 
43,43,Slovakia,354182,+1654,9313 ,+52,255300,,89569,693,64850,1705,2300975,421303,5461571 
44,44,Panama,352082,,6065 ,,340974,,5043,111,80679,1390,2095216,480114,4363996 
45,45,Malaysia,338168,+1360,1248 ,+2,322416,+1491,14504,157,10352,38,7372592,225690,32666960 
